City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
382,Manado,ID,74.17,scattered clouds,1.487,124.8455,Aryaduta Hotel
385,Biak,ID,75.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
388,Belmonte,BR,77.99,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
389,San Vicente De Canete,PE,69.78,overcast clouds,-13.0751,-76.3835,Hotel Konford
390,Quelimane,MZ,78.75,scattered clouds,-17.8786,36.8883,Hotel Flamingo
391,Kloulklubed,PW,83.37,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
394,Lumphat,KH,74.37,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
395,Gladstone,AU,67.93,broken clouds,-23.85,151.25,Highpoint International Hotel
398,Porto Santo,PT,70.18,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
402,Palu,ID,76.19,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
403,Bud,US,66.74,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
404,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
405,Isiro,CD,72.27,broken clouds,2.7739,27.616,Guest House Hewa Bora
406,Victoria,HK,77.38,moderate rain,22.2855,114.1577,Mini Central
409,Gigmoto,PH,80.22,overcast clouds,13.7796,124.39,Cj's Travellers Inn
410,Santa Isabel Do Rio Negro,BR,81.48,overcast clouds,-0.4139,-65.0192,Hotel GSA
411,Portland,US,68.86,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
412,Mount Pleasant,US,71.01,heavy intensity rain,32.7941,-79.8626,Best Western Patriots Point
416,Bonfim,BR,71.74,light rain,3.0833,-59.95,
417,Hurricane,US,81.7,scattered clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
420,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
422,Tsaratanana,MG,69.98,few clouds,-16.7833,47.65,
423,Parakou,BJ,77.13,overcast clouds,9.3372,2.6303,Benin Metropole Hotel
427,Seydi,TM,71.42,clear sky,39.4816,62.9137,Seydi oteli
428,Santona,ES,67.59,overcast clouds,43.4439,-3.4576,Playamar
430,Galesong,ID,75.22,scattered clouds,-5.3166,119.3661,Sapriadi Appy
432,Moyale,KE,66.43,broken clouds,3.5167,39.0584,La Tahzan Guest House
433,Ankazoabo,MG,68.38,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
436,Gazojak,TM,69.55,clear sky,41.1875,61.4036,
437,Naranjal,EC,83.93,light rain,-2.6667,-79.6167,Media Naranja
438,Sabha,LY,83.1,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
440,Padang,ID,77.23,overcast clouds,-0.9492,100.3543,Mercure Padang
449,Malpe,IN,78.1,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
450,Eydhafushi,MV,83.3,scattered clouds,5.1033,73.0708,Soneva Fushi
451,Honiara,SB,77.13,clear sky,-9.4333,159.95,Heritage Park Hotel
452,Harper,LR,77.36,light rain,4.375,-7.7169,Screensaver
454,San Patricio,US,79.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
455,Caravelas,BR,75.18,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
456,Mattru,SL,76.73,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
457,Praia Da Vitoria,PT,66.76,light rain,38.7333,-27.0667,Hotel Branco I
461,Porto De Moz,BR,79.61,scattered clouds,-1.7483,-52.2383,Dormitório labelle
463,Arica,CL,72.95,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
464,Yeppoon,AU,67.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
465,Zhoucheng,CN,67.33,overcast clouds,35.9122,116.3117,Yingbin Restaurant
466,Vangaindrano,MG,66.96,clear sky,-23.35,47.6,Hotel Fanilo
467,Lompoc,US,72.63,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
468,Ransang,PH,78.49,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
471,Labuhan,ID,80.2,light rain,-6.8844,112.2051,DoubleFAG
472,Buluang,PH,77.31,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
476,Jutai,BR,81.3,broken clouds,-5.1833,-68.9,
477,Oristano,IT,78.82,clear sky,39.9,8.6,Hotel Mistral
479,Half Moon Bay,US,76.91,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
480,Nanakuli,US,80.55,overcast clouds,21.3906,-158.1547,Camp Pālehua
482,Tautira,PF,79.34,light rain,-17.7333,-149.15,Pension Oaoa
484,Gamboula,CF,72.41,light rain,4.1178,15.1393,
485,Mayumba,GA,76.14,broken clouds,-3.432,10.6554,LIKWALE LODGE
