City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
61,Torbay,CA,47.6666,-52.7314,64.27,38,100,12.66,overcast clouds
62,Nikko,JP,36.75,139.6167,51.39,98,86,2.42,overcast clouds
63,Staryy Nadym,RU,65.6118,72.6842,49.01,72,99,23.64,overcast clouds
64,Rikitea,PF,-23.1203,-134.9692,75.92,76,3,13.38,light rain
65,Tezu,IN,27.9167,96.1667,70.57,90,4,4.68,clear sky
66,Bathsheba,BB,13.2167,-59.5167,86.61,66,20,20.71,few clouds
67,Bredasdorp,ZA,-34.5322,20.0403,56.91,88,56,6.02,broken clouds
68,Barrow,US,71.2906,-156.7887,23.02,86,100,9.22,light snow
69,Faanui,PF,-16.4833,-151.75,80.51,72,9,15.39,clear sky
70,Joao Pinheiro,BR,-17.7425,-46.1725,77.13,34,42,6.11,scattered clouds
71,Hithadhoo,MV,-0.6,73.0833,83.89,71,84,12.53,broken clouds
72,Isugod,PH,9.3408,118.1196,79.18,85,98,2.55,overcast clouds
73,Chernyshevskiy,RU,63.0128,112.4714,49.32,72,63,2.82,broken clouds
74,Namibe,AO,-15.1961,12.1522,70.02,71,0,4.43,clear sky
75,Dikson,RU,73.5069,80.5464,25.21,92,100,10.31,overcast clouds
76,Port Macquarie,AU,-31.4333,152.9167,55.89,85,100,3.89,light rain
77,Paraiso,CR,9.8383,-83.8656,75.11,83,68,1.97,broken clouds
78,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,1.14,broken clouds
79,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,48,11.48,scattered clouds
80,Isangel,VU,-19.55,169.2667,75.16,86,24,7.02,few clouds
81,Nabire,ID,-3.3667,135.4833,75.2,92,92,3.51,overcast clouds
82,Moen,NO,69.1304,18.6123,56.12,62,75,5.75,broken clouds
83,Lagoa,PT,39.05,-27.9833,62.11,93,100,5.59,overcast clouds
84,Churapcha,RU,62.0025,132.4325,36.93,84,8,5.66,clear sky
85,Murgab,TM,37.4966,61.9714,66.07,55,0,0.0,clear sky
86,Oak Harbor,US,48.2932,-122.6432,64.27,83,9,4.0,clear sky
87,Orangeburg,US,33.4918,-80.8557,83.91,74,40,10.36,scattered clouds
88,Saskylakh,RU,71.9167,114.0833,33.93,99,100,4.38,overcast clouds
89,Thompson,CA,55.7435,-97.8558,60.96,31,40,4.61,scattered clouds
90,Belaya Gora,RU,68.5333,146.4167,42.84,87,93,2.57,overcast clouds
91,Nizhniy Ufaley,RU,55.9153,59.9842,32.0,97,54,5.26,broken clouds
92,Hailar,CN,49.2,119.7,57.69,44,35,15.48,scattered clouds
93,Cabo San Lucas,MX,22.8909,-109.9124,84.61,63,2,9.84,clear sky
94,Nauta,PE,-4.5061,-73.5757,89.53,50,31,2.28,light rain
95,Atuona,PF,-9.8,-139.0333,77.38,82,24,17.11,light rain
96,Busselton,AU,-33.65,115.3333,61.07,70,86,24.92,light rain
97,Hasaki,JP,35.7333,140.8333,61.2,80,98,6.2,light rain
98,Stromness,GB,58.965,-3.296,53.87,90,100,10.56,overcast clouds
99,Upington,ZA,-28.4478,21.2561,61.03,51,19,1.57,few clouds
100,Cape Town,ZA,-33.9258,18.4232,65.37,78,0,8.05,clear sky
101,Airai,TL,-8.9266,125.4092,58.32,92,36,3.27,scattered clouds
102,Shihezi,CN,44.3,86.0333,77.38,32,99,19.42,overcast clouds
103,Buxar,IN,25.5833,83.9833,83.98,48,29,11.05,scattered clouds
104,Ahuimanu,US,21.4447,-157.8378,77.86,75,75,6.91,broken clouds
105,Boa Vista,BR,2.8197,-60.6733,75.18,88,100,5.75,moderate rain
106,The Valley,AI,18.217,-63.0578,85.1,71,12,14.54,few clouds
107,Dhidhdhoo,MV,6.8833,73.1,83.66,78,65,15.77,broken clouds
108,Mitha Tiwana,PK,32.2486,72.1108,98.89,10,65,15.73,broken clouds
109,Klaksvik,FO,62.2266,-6.589,49.12,86,70,2.91,broken clouds
110,Clarence Town,AU,-32.5833,151.7833,58.86,96,100,1.86,overcast clouds
111,Mirnyy,RU,62.5353,113.9611,46.87,85,70,0.96,light rain
112,Manokwari,ID,-0.8667,134.0833,78.51,75,99,5.17,overcast clouds
113,Lasa,IT,46.6166,10.7002,71.69,73,97,3.24,overcast clouds
114,Bandar-E Lengeh,IR,26.5579,54.8807,87.28,56,0,7.25,clear sky
115,Atasu,KZ,48.6814,71.6433,47.16,47,44,3.29,scattered clouds
116,Sokoto,NG,13.0609,5.239,87.37,43,86,10.63,light rain
117,Kieta,PG,-6.2167,155.6333,77.97,81,41,2.42,scattered clouds
118,Albany,US,42.6001,-73.9662,90.91,50,33,10.04,scattered clouds
119,Ortigueira,BR,-24.2083,-50.9494,67.8,39,0,4.12,clear sky
120,Talcahuano,CL,-36.7167,-73.1167,53.76,97,100,20.62,light rain
121,Wonthaggi,AU,-38.6044,145.5913,47.53,90,6,7.34,clear sky
122,Vagay,RU,57.9375,69.0217,41.94,84,94,8.23,overcast clouds
123,Katsuura,JP,35.1333,140.3,62.74,88,98,8.63,overcast clouds
124,Astana,KZ,51.1801,71.446,46.35,71,75,8.95,broken clouds
125,Bozdar,PK,27.1828,68.636,98.33,17,4,8.14,clear sky
126,Gat,IL,31.61,34.7642,70.48,32,0,5.37,clear sky
127,Carnarvon,AU,-24.8667,113.6333,71.49,61,94,16.8,overcast clouds
128,Chokurdakh,RU,70.6333,147.9167,32.27,99,100,4.05,overcast clouds
129,Ribeira Grande,PT,38.5167,-28.7,66.6,94,75,2.3,light intensity drizzle
130,Murakami,JP,38.2333,139.4833,56.75,95,87,2.57,moderate rain
131,Aswan,EG,24.0934,32.907,84.34,14,3,15.08,clear sky
132,Mar Del Plata,AR,-38.0023,-57.5575,61.95,57,0,11.5,clear sky
133,Sami,GM,13.5833,-15.2,99.73,16,62,8.1,broken clouds
134,Sabang,ID,5.8933,95.3214,83.77,77,99,22.26,overcast clouds
135,La Libertad,EC,-2.2333,-80.9,75.83,79,77,11.16,broken clouds
136,Buala,SB,-8.145,159.5921,79.75,81,16,5.44,light rain
